Path	Purpose	Status	Authority	Action
documentation/Intent-Sprint/01-schema-and-entity-foundation.md	Schema And Entity Foundation	historisch	App Intents code and living reference	Retain stage evidence; check live status in current reference
documentation/Intent-Sprint/02-status-intents.md	Status Intents	historisch	App Intents code and living reference	Retain stage evidence; check live status in current reference
documentation/Intent-Sprint/03-navigation-and-frequent-controls.md	Navigation And Frequent Controls	historisch	App Intents code and living reference	Retain stage evidence; check live status in current reference
documentation/Intent-Sprint/04-automation-event-store.md	Automation Event Store	historisch	App Intents code and living reference	Retain stage evidence; check live status in current reference
documentation/Intent-Sprint/05-places-proximity-and-watches.md	Places, Proximity, And Watches	P0 target	App Intents code and living reference	Keep implemented and planned stages distinct
documentation/Intent-Sprint/06-testing-and-rollout.md	Testing And Rollout	historisch	App Intents code and living reference	Retain stage evidence; check live status in current reference
documentation/Places-Sprint/00-overview-concept.md	Places UI/UX Overview And Concept	P0 target	Place store and App Intents code	Retain future visible-UI contract
documentation/README.md	Documentation Map	Current	App code and project settings	Keep topic facts and links verified
documentation/app-intents-current-shortcuts-and-manual-validation.md	App Intents, Shortcuts, And Manual Validation	Current	App code and project settings	Keep topic facts and links verified
documentation/audits/documentation-audit-2026-05-22.md	Documentation Audit - 2026-05-22	historisch	Dated implementation evidence	Retain; do not cite as Current without recheck
documentation/audits/ipad-iphone-audit-2026-03-04.md	iPad vs iPhone Audit (2026-03-04)	historisch	Dated implementation evidence	Retain; do not cite as Current without recheck
documentation/device-history-cache-map-and-analysis.md	Device History Cache, Map, And Analysis	Current	App code and project settings	Keep topic facts and links verified
documentation/device-list-cache-slogans-and-settings.md	Device List, Cache, Slogans, And Settings	Current	App code and project settings	Keep topic facts and links verified
documentation/device-security-devicekey-and-allowed-list.md	Device Security, DeviceKey, And Allowed Device List	Current	App code and project settings	Keep topic facts and links verified
documentation/known-device-access-history-storage-limits.md	Known-Device Access History Storage Limits	Current	App code and project settings	Keep topic facts and links verified
documentation/location-tracking-smart-frequent-background.md	Location Tracking, Smart Frequent, And Background Updates	Current	App code and project settings	Keep topic facts and links verified
documentation/navigation-routing-and-mutual-navigation.md	Navigation, Routing, And Mutual Navigation	Current	App code and project settings	Keep topic facts and links verified
documentation/persistent-data-cleanup-and-widgets.md	Persistent Data Cleanup And Widgets	Current	App code and project settings	Keep topic facts and links verified
documentation/release-workflow.md	Miataru Release Workflow	Current	App code and project settings	Keep topic facts and links verified
documentation/rotation-lock-deprecation-fix-2026-03-03.md	Rotation Lock Deprecation Fix (2026-03-03)	historisch	Dated implementation evidence	Retain; do not cite as Current without recheck
documentation/screenshot-test-workflow.md	Screenshot Test Workflow	Current	App code and project settings	Keep topic facts and links verified
documentation/settings-advanced-options-hitbox-2026-06-11.md	Settings Advanced Options Hitbox Fix - 2026-06-11	historisch	Dated implementation evidence	Retain; do not cite as Current without recheck
documentation/test-build-repair-report-2026-02-27.md	Test Build Repair Report (2026-02-27)	historisch	Dated implementation evidence	Retain; do not cite as Current without recheck
documentation/test-gap-matrix.md	Test Gap Matrix (reviewed 2026-09-25)	Current	Active test sources, schemes, result bundles	Synchronize when tests change
documentation/test-katalog.md	Test Catalog (reviewed 2026-09-25)	Current	Active test sources, schemes, result bundles	Synchronize when tests change
documentation/unknown-visitors-alerts-and-history.md	Unknown Visitors, Alerts, And Visitor History	Current	App code and project settings	Keep topic facts and links verified
miataru/.cursor/plans/2026-03-01 Test Screenshot Automation Plan.md	Test-Neustrukturierung mit dedizierten Schemes und Screenshot-Suite (seriell, 1 Simulator)	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/2026-03-04_miataru_api_retry_strategy_no_client_changes.plan.md	Miataru API Retry/Resilience Plan (ohne Änderungen an MiataruClientSwift)	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/Allowed Device List Feature-concept.md	Allowed Device List Feature — Implementation Plan	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/allowed_device_list_feature_032669d5.plan.md	allowed device list feature 032669d5.plan	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/animated_route_in_navigate_mode_71f7d07a.plan.md	Animated polyline on navigation route (full route)	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/deduplicate_device_location_refresh_c34cc28a.plan.md	Deduplicate Device Location Refresh Pipeline	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/devicekey_auth_flow_aec977ce.plan.md	DeviceKey Authentication Plan	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/devicekey_usage_audit_5be4fa9c.plan.md	devicekey usage audit 5be4fa9c.plan	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/devicetapnearbysheetdiagnosis_a66a9859.plan.md	Device Tap Nearby Sheet Analysis	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/fix_devicehistorymapview_zoom_and_data_retrieval_a5ed1d34.plan.md	Fix DeviceHistoryMapView Zoom and Data Retrieval	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/ghostspeedincorporation_5201c16a.plan.md	Incorporate	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/history-map-refactor_9ad9659b.plan.md	history map refactor 9ad9659b.plan	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/implement_getvisitorhistory_api_6b929d34.plan.md	implement getvisitorhistory api 6b929d34.plan	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/improve_map_tapability_d170647b.plan.md	improve map tapability d170647b.plan	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/low-power-gate-effects_980105a3.plan.md	Low Power Mode Gating Plan	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/macos_native_support_2a05c700.plan.md	macos native support 2a05c700.plan	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/merge_groups_into_devices_5173d21e.plan.md	Merge Groups Into Devices	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/miataru_ios_widgets_be2ab38b.plan.md	miataru ios widgets be2ab38b.plan	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/mutual_navigation_and_visitor_history_0bbbadc5.plan.md	mutual navigation and visitor history 0bbbadc5.plan	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/mutual_navigation_sounds_7835d78c.plan.md	Mutual Navigation Sound Cues	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/navigation_overlay_mode_a06f0fbb.plan.md	navigation overlay mode a06f0fbb.plan	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/periodic_location_updates_fa95e72d.plan.md	Implementation Plan: Periodic Location Updates	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/playback_respects_manual_zoom_7fac64f4.plan.md	Playback respects manual zoom (history map)	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/post_update_onboarding_15483174.plan.md	Post-Update Onboarding Replay	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/reverse_navigation_double-tap_mode_241b4efc.plan.md	reverse navigation double tap mode 241b4efc.plan	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/route_request_optimization_8e204d1a.plan.md	route request optimization 8e204d1a.plan	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/timeline_scrub_performance_2824e1c0.plan.md	Improve Timeline Scrub Performance	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/turn_feedback_cues_5fce8e08.plan.md	Turn Feedback Cues Plan	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/visitor-log-inline_b90777eb.plan.md	visitor log inline b90777eb.plan	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/plans/visitorhistoryautorefresh_9a355328.plan.md	Visitor History Auto-Refresh Plan	historisch	Current code and living topic docs	Keep as evidence; see documentation index
miataru/.cursor/rules/changelog-on-commit.mdc	Changelog on Commit	Current	Active repository workflow	Keep requirements consistent across tools
miataru/.cursorrules	.cursorrules	Current	Active repository workflow	Keep requirements consistent across tools
miataru/.specstory/history/2025-07-05_14-14Z-wie-wird-die-deviceid-erzeugt-und-verwaltet.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-05_15-06Z-download-entfernen-bei-fehlerhaften-downloads.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-15_12-47Z-ich-möchte-das-lokalisieren.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-15_13-38Z-füge-eine-erklärung-hinzu.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-15_13-51Z-text-formatting-issue-discussion.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-15_13-53Z-text-bricht-nicht-um.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-15_13-58Z-text-bricht-nicht-um.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-15_14-03Z-alternative-darstellungsformen-zum-kreis.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-15_14-10Z-kreative-alternativen-für-devicerow.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-15_14-26Z-animation-option-for-miatarumapmarker.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-15_14-48Z-text-mit-gegenteiliger-farbumrandung.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-15_14-55Z-refresh-on-element-appear.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-17_16-00Z-map-der-nächsten-5-geräte-anzeigen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-17_16-28Z-marker-click-shows-device-in-map-view.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-17_16-38Z-update-deprecated-methods-for-ios-17.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-17_16-45Z-deprecated-initializer-in-ios-17.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-17_16-48Z-reimplement-view-using-iphone-groupmapview.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-17_17-09Z-publishing-changes-from-background-threads.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-17_17-17Z-standard-schattenfarbe-für-kreis-festlegen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-17_17-21Z-farbpicker-für-gesamte-zeile-aktivieren.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-17_17-29Z-touch-target-für-den-colorpicker-vergrößern.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-17_17-43Z-toolbar-mit-einem-done-button.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-17_17-45Z-synchronisation-der-einstellungen-überprüfen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-18_10-01Z-zoom-level-for-pin-visibility-adjustment.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-18_10-25Z-implementiere-einen-wiederverwendbaren-color-picker.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-18_11-56Z-implementiere-das-preview-macro-für-xcode.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-18_12-00Z-die-breite-stimmt-nicht.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-18_12-20Z-warum-verändert-sich-der-pulsingaccuracycircle.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-18_12-30Z-reinitialisieren-der-pulsinaccuracycircle-animation.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-18_12-32Z-animation-issues-with-pulsing-accuracy-circle.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-18_12-36Z-sharesheet-für-deviceid-teilen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-18_12-40Z-spracheinstellungen-für-app-festlegen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-18_12-44Z-hinweis-zur-gruppenerstellung-anzeigen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-18_12-50Z-hinweis-für-das-hinzufügen-von-geräten.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-18_13-08Z-mapview-integration-above-existing-content.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-18_18-47Z-zoom-level-for-pin-visibility-adjustment.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-18_19-25Z-qr-code-integration-for-ios-app.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-18_19-28Z-finish-button-placement-in-onboarding-view.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-19_17-22Z-cfbundledisplayname-problem-analysis.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-19_17-23Z-compiler-error-in-swift-expression.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-19_17-25Z-ipad-root-view-reset-instructions.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-19_17-54Z-portiere-die-refresh-logik-von-iphone-devicesview.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-19_17-56Z-analyse-app-display-name-issue.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-19_18-15Z-aktualisierung-der-gerätesliste-bei-standortänderung.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-19_18-46Z-text-im-picker-zu-groß.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-19_18-49Z-kurze-texte-auf-deutsch-und-japanisch.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-19_18-53Z-ringpuffer-für-n-stunden-lokal-speichern.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-19_19-08Z-qr-code-scan-handling-for-app-launch.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-19_19-24Z-widget-mit-gruppenkarte-erstellen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-19_19-35Z-farbepicker-in-adddeviceview-einfügen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-19_19-44Z-kann-man-den-sicherheitsabstand-verringern.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-19_19-54Z-animation-von-pin-positionen-und-zoom.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-07-19_20-01Z-geräte-und-sicherheitsbereiche-im-zoom.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-12_13-34Z-unter-ios26-scheint-es-so-zu-sein-dass-wenn-die.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-13_10-10Z-view-skaliert-nicht-bei-drehung.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-13_10-15Z-buttons-too-low-in-hstack.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-13_10-50Z-toolbar-und-tabbar-anpassen-für-ios.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-13_10-51Z-toolbar-und-tabbar-an-ios-version-anpassen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-13_11-03Z-unterschiede-bei-der-pin-positionierung.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-13_11-53Z-vollständig-reaktive-ansicht-für-qr-code.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-13_12-27Z-prüfung-der-berechtigungen-für-standortverfolgung.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-13_12-35Z-standardstandort-der-karten-in-der-app.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-13_13-33Z-hinweispfeil-für-geräte-außerhalb-des-bildschirms.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-13_13-42Z-offscreen-device-error-bei-kartenrotation.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-13_14-14Z-kompassdarstellung-im-mapview-deaktivieren.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-13_14-21Z-deaktivieren-des-kompasses-in-mapviews.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-13_14-28Z-navigation-title-hidden-in-ios-26.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-13_14-30Z-hintergrund-für-ios26-anpassen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-15_11-35Z-mapview-animation-issue-on-ipad.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-15_12-03Z-cannot-find-currentcamera-error.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-15_12-26Z-farbe-des-offscreen-device-arrows.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-15_12-30Z-offscreen-arrows-for-cached-devices.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-15_12-48Z-initialisierung-der-ipad-deviceview.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-18_08-46Z-probleme-mit-der-kartenaktualisierung.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-18_08-57Z-erstelle-ipad-version-der-groupmapview.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-18_14-00Z-fehlender-ok-button-auf-dem-ipad.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-18_14-09Z-transparente-statusleiste-für-ipad-app.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-18_14-29Z-merge-cursor-rules-and-development-guidelines.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-18_14-30Z-vermeidung-von-überlappungen-bei-device-arrows.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-19_09-55Z-navigation-issue-with-offscreen-arrows.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-19_10-04Z-symbol-für-reload-button-mit-glasseffekt.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-19_11-58Z-ersetzen-von-update-durch-systemimage.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-19_12-04Z-positionierung-der-offscreenarrows-überprüfen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-19_12-29Z-debug-offscreendevicearrow-rotation-issue.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-19_12-51Z-text-ersetzen-durch-ein-pencil-symbol.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-19_13-26Z-navigation-title-in-toolbar-center.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-19_13-34Z-pull-to-refresh-taptic-feedback-implementation.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-19_13-51Z-change-text-to-system-image.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-19_14-05Z-ersetze-editbutton-durch-pencilsymbol.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-19_14-13Z-update-button-design-modification.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-19_14-34Z-symbol-vor-edit-device-text-anzeigen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-19_14-47Z-color-picker-view-presentation-issue.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-19_14-52Z-system-top-bar-auf-ipad-transparent-machen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-22_05-35Z-check-type-safety-and-improvements.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-22_09-23Z-debug-outputs-with-ifdef-statements.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-22_09-26Z-rendering-stabilität-und-view-skalierung.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-22_09-46Z-label-placement-above-pulsating-accuracy-circle.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-22_10-03Z-replace-if-debug-with-conditional-logger.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-22_10-17Z-offscreen-device-settings-anpassen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-22_10-27Z-prüfung-der-offscreen-statuskriterien.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-22_10-34Z-iphone-settings-view-as-sheet-presentation.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-22_11-01Z-top-bar-transparent-on-ipad.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-22_11-34Z-kontextmenü-anpassen-für-ios26.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-22_12-06Z-probleme-mit-der-standortverfolgung.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-22_12-31Z-fehlende-swipe-geste-in-der-deviceliste.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-22_12-47Z-überprüfung-des-projekts-auf-barrierefreiheit.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-22_12-58Z-reverse-geocoding-und-entfernungsanzeige.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-25_09-15Z-text-visibility-issue-in-devices-view.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-25_09-46Z-sharesheet-zeigt-keine-optionen-an.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-25_10-13Z-höhe-der-rowitems-festlegen.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-26_08-13Z-aktualisierung-der-placemark-reverse-geocoding.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-26_09-55Z-swift-error-with-result-builder-usage.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-26_10-35Z-fixing-result-builder-application-errors.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-26_11-27Z-cannot-find-type-knowndevice-error.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-26_11-57Z-drag-and-drop-issue-in-ipad-devices-view.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-26_12-06Z-gerätepfeile-verschwinden-bei-kartenrotation.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-26_12-08Z-share-buttons-layout-in-qr-code-view.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-26_12-25Z-update-onchange-usage-for-ios-17.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-26_12-44Z-swift-closure-argument-mismatch-error.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-26_13-18Z-buttons-and-layout-adjustments-for-ui.md	Historical chat record	historisch	Git history	Retain; never require new chat records
miataru/.specstory/history/2025-08-26_13-57Z-problem-mit-der-deviceview-navigation.md	Historical chat record	historisch	Git history	Retain; never require new chat records
